n,m,R,R_next,C_reverse,eta_R_xi,J,omega,source_fisher2,poisson_source_bound,corrected_chi2,poisson_chi2_bound,correction_transport_error,ledger_error
16,4,4.0067293924102374e-14,3.1435275307968638e-12,3.0064912610099036e-12,3.853294483125819e-14,5.84360310315996e-14,0.42990692996000474,1.0916357660599725e-14,7.680527952599766e-08,4.204172142252467e-07,0.0003917419775396278,7.589415207398531e-19,1.8932661725304283e-28
16,5,3.1435275307968638e-12,1.3535941273694152e-10,1.2125036476190595e-10,3.869251571676839e-12,7.096268872561867e-12,6.9659734683489996,1.89830330703122e-12,4.937507612183207e-07,3.0728699474738906e-06,0.0009933941898991599,5.421010862427522e-19,0.0
16,6,1.3535941273694152e-10,5.686934802995878e-09,4.75772286316955e-09,2.270406169063078e-10,5.668119101830799e-10,50.19386585022686,2.597822691324411e-10,5.188998940683492e-06,2.9387635665036198e-05,0.003222315798969539,4.336808689942018e-19,-6.203854594147708e-25
16,7,5.686934802995878e-09,5.235528302130014e-07,4.1746720125940506e-07,1.735168245124994e-08,8.304701169935053e-08,51.44646125155916,9.129571025996972e-08,0.00019364184923180533,0.0005716362640739061,0.01978589525199374,8.673617379884035e-19,2.6469779601696886e-23
18,3,-1.5491486064395546e-15,1.49530950293591e-14,1.718293629736198e-14,-4.9820552669457535e-20,-6.806428410106584e-16,0.0007853599931313079,2.708720557803485e-32,6.839395948599434e-09,3.423912223693553e-08,0.00011689048532399372,1.734723475976807e-18,2.7610131682735413e-30
18,4,1.49530950293591e-14,9.700746075116301e-13,9.247454930547041e-13,1.3513753378874122e-14,1.6862266048692783e-14,0.0310528344732316,2.6700625518591402e-15,2.9785722208167952e-08,1.970482085140663e-07,0.00024395471026402677,5.421010862427522e-19,8.204153414298523e-29
18,5,9.700746075116301e-13,2.8342626456655765e-11,2.5140548639050925e-11,9.06136928604216e-13,1.3258662814889946e-12,0.742974180909701,2.690948109130767e-13,1.4025168069896662e-07,1.1050789666902666e-06,0.0005294103174612852,3.2526065174565133e-19,0.0
18,6,2.8342626456655765e-11,6.756250508338387e-10,5.573640584174172e-10,3.244485204101022e-11,5.7473513918755596e-11,10.07587362233892,1.7036648556117284e-11,8.406332270829164e-07,6.955303152053499e-06,0.00129634474542942,2.439454888092385e-19,-5.169878828456423e-26
18,7,6.756250508338387e-10,1.972309574605683e-08,1.5367480091252873e-08,1.07801002733662e-09,2.601980576633499e-09,62.8931099397008,1.2831883117054828e-09,8.445527858017273e-06,5.849532346540814e-05,0.004112144223705848,2.981555974335137e-19,1.6543612251060553e-24
18,8,1.972309574605683e-08,1.3888797842281308e-06,1.0468383933060945e-06,5.7819523471407016e-08,2.644987717045725e-07,61.45221119066285,3.076824013424734e-07,0.0003033323619058342,0.0010006045908937428,0.02480419073667503,6.505213034913027e-19,-1.0587911840678754e-22
