n,m,xi,b,b_direct,b_discrepancy,source_peak,source_bound,source_ratio,y_over_m,H_ratio,lower_clock_ratio,upper_clock_ratio,moment_error
64,24,0.0005134844804855499,0.9826891412732391,0.982689141273271,3.186340080674199e-14,14.585560778190235,7344.287269181468,0.001985973620530208,0.0018117828905458192,1.481395849684431,6.924715931823141,0.00355390928549906,-3.608224830031759e-15
64,24,0.0005812217624638172,0.9804472310875693,0.9804472310875969,2.7644553313166398e-14,14.512092609198097,6248.805832333805,0.002322378546970809,0.0020487318315704638,1.4800085082852534,6.914954343421274,0.004016787306642332,-5.384581669432009e-15
64,24,0.0006578947368421052,0.9779210479072997,0.9779210479072891,1.0658141036401503e-14,14.429406598368352,5321.577847112278,0.0027114902784328115,0.0023163681899040214,1.4784421863294133,6.9039517949684654,0.004539087307671575,-4.3298697960381105e-15
64,31,0.000244140625,0.9128386454801487,0.9128386454801416,7.105427357601002e-15,258.6585704012768,21461.690922630183,0.012052105835171424,0.0037386881585462833,1.484546025158158,29.170244988055003,0.007119903585075666,-6.106226635438361e-16
64,31,0.00027634689994396273,0.90252896800119,0.9025289680011985,8.548717289613705e-15,253.81820300246446,18230.393772680534,0.013922804200906951,0.004208553998593746,1.4817733399691269,28.89188701477608,0.007981977615295193,-2.7755575615628914e-16
64,31,0.00031280172690898334,0.8911610690452904,0.8911610690452989,8.548717289613705e-15,248.48258450738584,15499.449002740936,0.01603170438274573,0.004734336254187529,1.4786728436093672,28.584135144750064,0.008938370897625052,-4.440892098500626e-16
64,31,0.00035406556171638964,0.878667041609439,0.8786670416094426,3.6637359812630166e-15,242.61993537652248,13189.552816878395,0.01839485680409474,0.0053219075755679066,1.4752106941808694,28.244841785494696,0.009996986183843079,-4.996003610813204e-16
64,31,0.0004007727937832634,0.8649850573761405,0.8649850573761442,3.6637359812630166e-15,236.2011575693281,11234.204090290621,0.021025179502789124,0.005977572049037738,1.4713507297276416,27.87193648882568,0.011165838890329335,-7.771561172376096e-16
64,31,0.0004536414992133564,0.8500625409963998,0.8500625409964027,2.886579864025407e-15,229.2012236919811,9577.60841350045,0.023930945367206975,0.0067080550018537854,1.4670545804725141,27.46349304487854,0.01245293099222937,-3.885780586188048e-16
64,31,0.0005134844804855499,0.8338598322706896,0.8338598322706927,3.1086244689504383e-15,221.60076649382768,8172.92883615385,0.027113996822479634,0.007520482458569193,1.4622818515551872,27.017807699150477,0.013866104920575275,-7.771561172376096e-16
64,31,0.0005812217624638172,0.8163542669509405,0.8163542669509385,1.9984014443252818e-15,213.3878367857745,6980.825531006966,0.03056770805085482,0.008422349141936026,1.4569903837325064,26.533487339061725,0.015412881973095786,-3.3306690738754696e-16
64,31,0.0006578947368421052,0.7975445415967432,0.7975445415967479,4.773959005888173e-15,204.55977277734647,5968.236279407807,0.034274744363445964,0.00942147437225147,1.4511365966247418,26.009545315633233,0.017100292778194102,-4.440892098500626e-16
64,32,0.000244140625,0.7827061258907594,0.7827061258907599,5.551115123125783e-16,662.2507793861552,21710.733083068124,0.03050338175372966,0.006925719910459129,1.467259984963138,50.75429933092128,0.012388161906497748,-1.942890293094024e-15
